book,chapter,verse,sentence#,clause#,lex,status,sense_label,sense,action_status,action,#dos,#pdos,#sdos,#inds,#locs,#cpls,text
Genesis,13,17,35,1,NTN[,,1i,give [3|give~her] to [2|to~you:m],!,,1,0,1,1,0,0,[1|K.IJ ] [2|L:k@ ] [3|>ET.:NEN.@H00
]
Genesis,14,20,46,1,NTN[,,1i,give [4|tenth from whole] to [3|to~him],!,,1,0,1,1,0,0,[1|WA] [2|J.IT.En&] [3|LOW ] [4|MA<:AF;R MIK.OL00
]
Genesis,14,21,48,1,NTN[,,1i,give [3|the soul] to [2|to~me],!,,1,0,1,1,0,0,[1|T.En&] [2|LIJ ] [3|HAN.EPEC ]
Genesis,15,2,6,2,NTN[,,1i,give [1|what] to [3|to~me],!,,1,0,1,1,0,0,[1|MAH&] [2|T.IT.En&] [3|LIJ ]
Genesis,15,3,9,1,NTN[,,1i,give [5|seed] to [2|to~me],!,,1,0,1,1,0,0,[1|H;n ] [2|LIJ ] [3|LO> ] [4|N@TAT.@H ] [5|Z@RA< ]
Genesis,15,7,24,3,NTN[,,1i,give [3|& the earth the this] to [2|to~you:m],!,,1,0,1,1,0,0,[1|L@TET ] [2|L:k@ ] [3|>ET&H@>@REy HAZ.O>T ]
Genesis,15,10,32,1,NTN[,,10,produce; yield; give [4|piece~him],!,,1,0,1,0,0,0,[1|WA] [2|J.IT.;n ] [3|>IJC&] [4|B.IT:ROW ]
Genesis,15,18,53,1,NTN[,,2,make  (to be (as)/to become/to do) [1|to seed~you:m] [3|& the earth the this],!,,2,0,2,0,1,1,[1|L:ZAR:<:Ak@ ] [2|N@TAT.IJ ] [3|>ET&H@>@REy HAZ.O>T ] [4|MIN.:HAR MIY:RAJIm ] [5|<AD&HAN.@H@R HAG.@DOL N:HAR&P.:R@T00
]
Genesis,16,3,10,1,NTN[,,2,make  (to be (as)/to become/to do) [3|&~her] [4|to Abram man~her],!,,2,0,2,0,0,0,[1|WA] [2|T.IT.;n ] [3|>OT@H. ] [4|L:>AB:R@m >IJC@H. ] [5|LOW ] [6|L:>IC.@H00
]
Genesis,16,5,17,1,NTN[,,1l,place [3|maidservant~me] ... [4|in lap~you:m],!,,1,0,1,0,1,1,[1|>@NOKIJ ] [2|N@TAT.IJ ] [3|CIP:X@TIJ ] [4|B.:X;JQEk@ ]
Genesis,17,2,7,1,NTN[,wrn,1c,make [3|covenant~me] (to be (as)/to become/to do) [4|interval~me and interval~you:m],?,[4|interval~me and interval~you:m] taken as extra direct object besides [3|covenant~me],1,0,1,0,0,1,[1|W:] [2|>ET.:N@H ] [3|B:RIJTIJ ] [4|B.;JNIJ W.B;JNEk@ ]
Genesis,17,5,14,1,NTN[,,2,make [3|give~you:m] (to be (as)/to become/to do) [2|father commotion people],!,,2,1,1,0,0,0,[1|K.IJ ] [2|>AB&H:AMOWn G.OWJIm ] [3|N:TAT.IJk@00
]
Genesis,17,6,16,1,NTN[,,2,make  (to be (as)/to become/to do) [2|give~you:m] [3|to people],!,,2,0,2,0,0,0,[1|W.] [2|N:TAT.IJk@ ] [3|L:GOWJIm ]
Genesis,17,8,19,1,NTN[,,2,make  (to be (as)/to become/to do) [4|& earth neighbourhood~you:m & whole earth Canaan] [5|to land property eternity],!,,2,0,2,1,0,0,[1|W:] [2|N@TAT.IJ ] [3|L:k@ W.L:ZAR:<:Ak@ >AX:AREJk@ ] [4|>;T 05 >EREy M:GUREJk@ >;T K.@L&>EREy K.:NA<An ] [5|LA>:AXUZ.AT <OWL@m ]
Genesis,17,16,35,1,NTN[,,1i,give [6|son] to [5|to~you:m],!,,1,0,1,1,0,0,[1|W:] [2|GAm ] [3|N@TAT.IJ ] [4|MIM.EN.@H ] [5|L:k@ ] [6|B.;n ]
Genesis,17,20,55,1,NTN[,,2,make  (to be (as)/to become/to do) [2|give~him] [3|to people great],!,,2,0,2,0,0,0,[1|W.] [2|N:TAT.IJW ] [3|L:GOWJ G.@DOWL00
]
Genesis,18,7,29,1,NTN[,wrn,0c,produce; yield; give [3|to the boy],?,[3|to the boy] taken as extra direct object besides ,0,0,0,0,0,1,[1|WA] [2|J.IT.;n ] [3|>EL&HAN.A<AR ]
Genesis,18,8,32,1,NTN[,err,0l,!not encountered!,-,,0,0,0,0,1,1,[1|WA] [2|J.IT.;n ] [3|LIP:N;JHEm ]
Genesis,20,6,23,1,NTN[,,10,produce; yield; give [3|give~you:m],!,,1,0,1,0,0,0,[1|<AL&K.;n ] [2|LO>&] [3|N:TAT.IJk@ ]
Genesis,20,14,56,1,NTN[,,10,produce; yield; give [3|to Abraham],!,,1,0,1,0,0,0,[1|WA] [2|J.IT.;n ] [3|L:>AB:R@H@m ]
Genesis,20,16,62,1,NTN[,,2,make  (to be (as)/to become/to do) [3|thousand silver] [4|to brother~you:f],!,,2,0,2,0,0,0,[1|HIN.;H ] [2|N@TAT.IJ ] [3|>ELEp K.ESEp ] [4|L:>@XIJk: ]
Genesis,21,14,30,1,NTN[,,0i,produce for; yield for; give to [3|to Hagar],!,,0,0,0,1,0,0,[1|WA] [2|J.IT.;n ] [3|>EL&H@G@R ]
Genesis,21,27,79,1,NTN[,,10,produce; yield; give [3|to Abimelech],!,,1,0,1,0,0,0,[1|WA] [2|J.IT.;n ] [3|LA>:ABIJMELEk: ]
Genesis,23,4,9,1,NTN[,,1i,give [3|land property grave] to [2|to~me],!,,1,0,1,1,0,0,[1|T.:NW. ] [2|LIJ ] [3|>:AXUZ.AT&QEBER ] [4|<IM.@KEm ]
Genesis,23,9,22,1,NTN[,,1i,give [4|& cave the Machpelah] to [3|to~me],!,,1,0,1,1,0,0,[1|W:] [2|JIT.En&] [3|LIJ ] [4|>ET&M:<@RAT HAM.AK:P.;L@H ]
Genesis,23,9,23,1,NTN[,,2,make  (to be (as)/to become/to do) [2|give~her] [5|to land property grave],!,,2,0,2,1,1,1,[1|B.:KESEp M@L;> ] [2|JIT.:NEN.@H ] [3|LIJ ] [4|B.:TOWK:KEm ] [5|LA>:AXUZ.AT&Q@BER00
]
Genesis,23,11,27,1,NTN[,,1i,give [1|the open field] to [3|to~you:m],!,,1,0,1,1,0,0,[1|HAF.@DEH ] [2|N@TAT.IJ ] [3|L@k: ]
Genesis,23,11,28,3,NTN[,,1i,give [2|give~her] to [1|to~you:m],!,,1,0,1,1,0,0,[1|L:k@ ] [2|N:TAT.IJH@ ]
Genesis,23,11,29,1,NTN[,,1i,give [2|give~her] to [3|to~you:m],!,,1,0,1,1,1,1,[1|L:<;JN;J B:N;J&<AM.IJ ] [2|N:TAT.IJH@ ] [3|L.@k: ]
Genesis,23,13,35,1,NTN[,,10,produce; yield; give [2|silver the open field],!,,1,0,1,0,0,0,[1|N@TAT.IJ ] [2|K.ESEp HAF.@DEH ]
Genesis,24,7,15,1,NTN[,,2,make  (to be (as)/to become/to do) [1|to seed~you:m] [3|& the earth the this],!,,2,0,2,0,0,0,[1|L:ZAR:<:Ak@ ] [2|>ET.;n ] [3|>ET&H@>@REy HAZ.O>T ]
Genesis,24,32,95,1,NTN[,,2,make  (to be (as)/to become/to do) [3|straw and fodder] [4|to the camel],!,,2,0,2,0,0,0,[1|WA] [2|J.IT.;n ] [3|T.EBEn W.MIS:P.OW> ] [4|LAG.:MAL.IJm ]
Genesis,24,35,106,1,NTN[,,1i,give [4|cattle and cattle and silver and gold and servant and maidservant and camel and he-ass] to [3|to~him],!,,1,0,1,1,0,0,[1|WA] [2|J.IT.En&] [3|LOW ] [4|YO>n W.B@Q@R W:KESEp W:Z@H@B WA<:AB@DIm W.C:P@XOT W.G:MAL.IJm WAX:AMORIJm00
]
Genesis,24,36,108,1,NTN[,,1i,give [4|& whole] to [3|to~him],!,,1,0,1,1,0,0,[1|WA] [2|J.IT.En&] [3|L.OW ] [4|>ET&K.@L&]
Genesis,24,41,121,1,NTN[,,0i,produce for; yield for; give to [5|to~you:m],!,,0,0,0,1,0,0,[1|W:] [2|>Im&] [3|LO> ] [4|JIT.:NW. ] [5|L@k: ]
Genesis,24,53,173,1,NTN[,,10,produce; yield; give [3|to Rebekah],!,,1,0,1,0,0,0,[1|WA] [2|J.IT.;n ] [3|L:RIB:Q@H ]
Genesis,24,53,174,1,NTN[,,2,make  (to be (as)/to become/to do) [2|presents] [4|to brother~her and to mother~her],!,,2,0,2,0,0,0,[1|W.] [2|MIG:D.@NOT ] [3|N@TAn ] [4|L:>@XIJH@ W.L:>IM.@H.00
]
Genesis,25,5,8,1,NTN[,,2,make  (to be (as)/to become/to do) [4|& whole] [5|to Isaac],!,,2,0,2,0,0,0,[1|WA] [2|J.IT.;n ] [3|>AB:R@H@m ] [4|>ET&K.@L&] [5|L:JIY:X@Q00
]
Genesis,25,6,9,1,NTN[,,2,make  (to be (as)/to become/to do) [2|to son the concubine] [5|present],!,,2,0,2,0,0,0,[1|W:] [2|LIB:N;J HAP.IJLAG:CIJm ] [3|N@TAn ] [4|>AB:R@H@m ] [5|MAT.@NOT ]
Genesis,25,34,79,1,NTN[,,2,make  (to be (as)/to become/to do) [4|to Esau] [5|bread and boiled food lentil],!,,2,0,2,0,0,0,[1|W:] [2|JA<:AQOB ] [3|N@TAn ] [4|L:<;F@W ] [5|LEXEm W.N:ZIJD <:AD@CIJm ]
Genesis,26,3,10,1,NTN[,,1i,give [4|& whole the earth the these] to [2|to~you:m and to seed~you:m],!,,1,0,1,1,0,0,[1|K.IJ&] [2|L:k@ W.L:ZAR:<:Ak@ ] [3|>ET.;n ] [4|>ET&K.@L&H@>:AR@YOT H@>;L ]
Genesis,26,4,13,1,NTN[,,2,make  (to be (as)/to become/to do) [3|to seed~you:m] [4|& whole the earth the these],!,,2,0,2,0,0,0,[1|W:] [2|N@TAT.IJ ] [3|L:ZAR:<:Ak@ ] [4|>;T K.@L&H@>:AR@YOT H@>;L ]
Genesis,27,17,55,1,NTN[,,1l,place [3|& the savoury food and & the bread] ... [4|in hand Jacob son~her],!,,1,0,1,0,1,1,[1|WA] [2|T.IT.;n ] [3|>ET&HAM.AV:<AM.IJm W:>ET&HAL.EXEm ] [4|B.:JAD JA<:AQOB B.:N@H.00
]
Genesis,27,28,107,1,NTN[,,0i,produce for; yield for; give to [3|to~you:m],!,,0,0,0,1,1,1,[1|W:] [2|JIT.En&] [3|L:k@ ] [4|H@>:ELOHIJm ] [5|MIV.AL HAC.@MAJIm W.MIC:MAN.;J H@>@REy ]
Genesis,27,37,152,1,NTN[,,2,make  (to be (as)/to become/to do) [2|& whole brother~him] [5|to servant],!,,2,0,2,1,0,0,[1|W:] [2|>ET&K.@L&>EX@JW ] [3|N@TAT.IJ ] [4|LOW ] [5|LA<:AB@DIJm ]
Genesis,28,4,13,1,NTN[,,1i,give [4|& blessing Abraham] to [3|to~you:m] [5|to~you:m and to seed~you:m together with~you:m],!,,1,0,1,2,0,0,[1|W:] [2|JIT.En&] [3|L:k@ ] [4|>ET&B.IR:K.AT >AB:R@H@m ] [5|L:k@ W.L:ZAR:<:Ak@ >IT.@k: ]
Genesis,28,4,13,3,NTN[,,10,produce; yield; give [4|to Abraham],!,,1,0,1,0,0,0,[1|>:ACER&] [2|N@TAn ] [3|>:ELOHIJm ] [4|L:>AB:R@H@m00
]
Genesis,28,13,40,3,NTN[,,1i,give [2|give~her] to [1|to~you:m],!,,1,0,1,1,0,0,[1|L:k@ ] [2|>ET.:NEN.@H ]
Genesis,28,20,66,1,NTN[,,1i,give [4|bread and garment] to [3|to~me],!,,1,0,1,1,0,0,[1|W:] [2|N@TAn&] [3|LIJ ] [4|LEXEm W.BEGED ]
Genesis,28,22,70,2,NTN[,,0i,produce for; yield for; give to [3|to~me],!,,0,0,0,1,0,0,[1|>:ACER ] [2|T.IT.En&] [3|LIJ ]
Genesis,29,19,69,2,NTN[,,1i,give [2|&~her] to [3|to~you:m],!,,1,0,1,1,0,0,[1|T.IT.IJ ] [2|>OT@H. ] [3|L@k: ]
Genesis,29,19,69,3,NTN[,,2,make  (to be (as)/to become/to do) [2|&~her] [3|to man other],!,,2,0,2,0,0,0,[1|MIT.IT.IJ ] [2|>OT@H. ] [3|L:>IJC >AX;R ]
Genesis,29,24,83,1,NTN[,,2,make [5|& Zilpah maidservant~him] (to be (as)/to become/to do) [6|to Leah daughter~him] [7|maidservant],!,,3,1,2,1,0,0,[1|WA] [2|J.IT.;n ] [3|L@B@n ] [4|L@H. ] [5|>ET&ZIL:P.@H CIP:X@TOW ] [6|L:L;>@H BIT.OW ] [7|CIP:X@H00
]
Genesis,29,26,91,2,NTN[,,1l,place [2|the little] ... [3|to face the first-born woman],!,,1,0,1,0,1,1,[1|L@T;T ] [2|HAY.:<IJR@H ] [3|LIP:N;J HAB.:KIJR@H00
]
Genesis,29,27,93,1,NTN[,,1i,give [4|even & this] to [3|to~you:m],!,,1,0,1,1,0,0,[1|W:] [2|NIT.:N@H ] [3|L:k@ ] [4|G.Am&>ET&ZO>T ] [5|B.A<:ABOD@H ]
Genesis,29,28,96,1,NTN[,,2,make  (to be (as)/to become/to do) [4|& Rachel daughter~him] [6|to woman],!,,2,0,2,2,0,0,[1|WA] [2|J.IT.En&] [3|LOW ] [4|>ET&R@X;L B.IT.OW ] [5|LOW ] [6|L:>IC.@H00
]
Genesis,29,29,97,1,NTN[,,2,make  (to be (as)/to become/to do) [4|to Rachel daughter~him] [5|& <mother of Dan Naphtali> maidservant~him],!,,2,0,2,0,0,0,[1|WA] [2|J.IT.;n ] [3|L@B@n ] [4|L:R@X;L B.IT.OW ] [5|>ET&B.IL:H@H CIP:X@TOW ] [6|L@H. ] [7|L:CIP:X@H00
]
Genesis,29,33,113,1,NTN[,,1i,give [4|even & this] to [3|to~me],!,,1,0,1,1,0,0,[1|WA] [2|J.IT.En&] [3|LIJ ] [4|G.Am&>ET&ZEH ]
Genesis,30,4,14,1,NTN[,,2,make  (to be (as)/to become/to do) [4|& <mother of Dan Naphtali> maidservant~her] [5|to woman],!,,2,0,2,1,0,0,[1|WA] [2|T.IT.En&] [3|LOW ] [4|>ET&B.IL:H@H CIP:X@T@H. ] [5|L:>IC.@H ]
Genesis,30,6,21,1,NTN[,,1i,give [4|son] to [3|to~me],!,,1,0,1,1,0,0,[1|WA] [2|J.IT.En&] [3|LIJ ] [4|B.;n ]
Genesis,30,9,31,1,NTN[,,2,make  (to be (as)/to become/to do) [3|&~her] [4|to Jacob],!,,2,0,2,0,0,0,[1|WA] [2|T.IT.;n ] [3|>OT@H. ] [4|L:JA<:AQOB ] [5|L:>IC.@H00
]
Genesis,30,14,45,1,NTN[,,0i,produce for; yield for; give to [3|to~me],!,,0,0,0,1,0,1,[1|T.:NIJ&] [2|N@> ] [3|LIJ ] [4|MID.W.D@>;J B.:N;k:00
]
Genesis,30,18,60,1,NTN[,,10,produce; yield; give [3|hire~me],!,,1,0,1,0,0,0,[1|N@TAn ] [2|>:ELOHIJm ] [3|F:K@RIJ ]
Genesis,30,18,60,2,NTN[,,2,make  (to be (as)/to become/to do) [3|maidservant~me] [4|to man~me],!,,2,0,2,0,0,0,[1|>:ACER&] [2|N@TAT.IJ ] [3|CIP:X@TIJ ] [4|L:>IJCIJ ]
Genesis,30,26,84,1,NTN[,,10,produce; yield; give [2|& woman~me and & boy~me],!,,1,0,1,0,0,0,[1|T.:N@H ] [2|>ET&N@CAJ W:>ET&J:L@DAJ ]
Genesis,30,28,93,1,NTN[,,00,(act of) producing; yielding; giving (in itself),!,,0,0,0,0,0,0,[1|W:] [2|>ET.;N@H00
]
Genesis,30,31,102,1,NTN[,,1i,give [1|what] to [3|to~you:m],!,,1,0,1,1,0,0,[1|M@H ] [2|>ET.En&] [3|L@k: ]
Genesis,30,31,104,1,NTN[,,1i,give [4|something] to [3|to~me],!,,1,0,1,1,0,0,[1|LO>&] [2|TIT.En&] [3|LIJ ] [4|M:>W.M@H ]
Genesis,30,35,119,1,NTN[,err,0l,!not encountered!,-,,0,0,0,0,1,1,[1|WA] [2|J.IT.;n ] [3|B.:JAD&B.@N@JW00
]
Genesis,30,40,130,1,NTN[,,1l,place [3|face the cattle] ... [4|to twisted and whole ruttish in cattle Laban],!,,1,0,1,0,1,1,[1|WA] [2|J.IT.;n ] [3|P.:N;J HAY.O>n ] [4|>EL&<@QOD W:K@L&XW.m B.:YO>n L@B@n ]
Genesis,31,7,17,1,NTN[,,10,produce; yield; give [3|give~him],!,,1,0,1,0,0,0,[1|W:] [2|LO>&] [3|N:T@NOW ] [4|>:ELOHIJm ]
Genesis,31,9,25,1,NTN[,,0i,produce for; yield for; give to [3|to~me],!,,0,0,0,1,0,0,[1|WA] [2|J.IT.En&] [3|LIJ00
]
Genesis,32,17,46,1,NTN[,err,0l,!not encountered!,-,,0,0,0,0,1,1,[1|WA] [2|J.IT.;n ] [3|B.:JAD&<:AB@D@JW ] [4|<;DER <;DER L:BAD.OW ]
Genesis,34,8,21,3,NTN[,,2,make  (to be (as)/to become/to do) [3|&~her] [5|to woman],!,,2,0,2,1,0,0,[1|T.:NW. ] [2|N@> ] [3|>OT@H. ] [4|LOW ] [5|L:>IC.@H00
]
Genesis,34,9,23,1,NTN[,,1i,give [1|daughter~you:mm] to [3|to~us],!,,1,0,1,1,0,0,[1|B.:NOT;JKEm ] [2|T.IT.:NW.&] [3|L@NW. ]
Genesis,34,11,32,1,NTN[,,10,produce; yield; give [2|<relative> say to~me],!,,1,0,1,0,0,0,[1|WA] [2|>ET.;n00
]
Genesis,34,12,34,1,NTN[,,00,(act of) producing; yielding; giving (in itself),!,,0,0,0,0,0,0,[1|W:] [2|>ET.:N@H ]
Genesis,34,12,35,1,NTN[,,2,make  (to be (as)/to become/to do) [4|& the girl] [5|to woman],!,,2,0,2,1,0,0,[1|W.] [2|T:NW.&] [3|LIJ ] [4|>ET&HAN.A<:AR@ ] [5|L:>IC.@H00
]
Genesis,34,14,39,3,NTN[,,2,make  (to be (as)/to become/to do) [2|& sister~us] [3|to man],!,,2,0,2,0,0,0,[1|L@T;T ] [2|>ET&>:AXOT;NW. ] [3|L:>IJC ]
Genesis,34,16,43,1,NTN[,,1i,give [3|& daughter~us] to [4|to~you:mm],!,,1,0,1,1,0,0,[1|W:] [2|N@TAN.W. ] [3|>ET&B.:NOT;JNW. ] [4|L@KEm ]
Genesis,34,21,61,1,NTN[,,1i,give [2|& daughter~us] to [4|to~them:mm],!,,1,0,1,1,0,0,[1|W:] [2|>ET&B.:NOT;JNW. ] [3|NIT.;n ] [4|L@HEm00
]
Genesis,35,4,14,1,NTN[,,1i,give [4|& whole god(s) the foreigner and & the nose-ring] to [3|to Jacob],!,,1,0,1,1,0,0,[1|WA] [2|J.IT.:NW. ] [3|>EL&JA<:AQOB ] [4|>;T K.@L&>:ELOH;J HAN.;K@R W:>ET&HAN.:Z@MIJm ]
Genesis,35,12,40,2,NTN[,,10,produce; yield; give [3|to Abraham and to Isaac],!,,1,0,1,0,0,0,[1|>:ACER ] [2|N@TAT.IJ ] [3|L:>AB:R@H@m W.L:JIY:X@Q ]
Genesis,35,12,40,3,NTN[,,1i,give [2|give~her] to [1|to~you:m],!,,1,0,1,1,0,0,[1|L:k@ ] [2|>ET.:NEN.@H ]
Genesis,35,12,41,1,NTN[,,2,make  (to be (as)/to become/to do) [2|to seed~you:m after~you:m] [4|& the earth],!,,2,0,2,0,0,0,[1|W.] [2|L:ZAR:<:Ak@ >AX:AREJk@ ] [3|>ET.;n ] [4|>ET&H@>@REy00
]
Genesis,38,9,30,2,NTN[,,2,make  (to be (as)/to become/to do) [2|seed] [3|to brother~him],!,,2,0,2,0,0,0,[1|L:BIL:T.IJ N:T@n&] [2|ZERA< ] [3|L:>@XIJW00
]
Genesis,38,16,60,1,NTN[,,1i,give [1|what] to [3|to~me],!,,1,0,1,1,0,0,[1|MAH&] [2|T.IT.En&] [3|L.IJ ]
Genesis,38,17,65,1,NTN[,,10,produce; yield; give [3|pledge],!,,1,0,1,0,0,0,[1|>Im&] [2|T.IT.;n ] [3|<;R@BOWn ]
Genesis,38,18,67,2,NTN[,,0i,produce for; yield for; give to [3|to~you:f],!,,0,0,0,1,0,0,[1|>:ACER ] [2|>ET.En&] [3|L.@k: ]
Genesis,38,18,70,1,NTN[,,0i,produce for; yield for; give to [3|to~her],!,,0,0,0,1,0,0,[1|WA] [2|J.IT.En&] [3|L.@H. ]
Genesis,38,26,109,1,NTN[,,2,make  (to be (as)/to become/to do) [4|give~her] [5|to Shelah son~me],!,,2,0,2,0,0,0,[1|K.IJ&] [2|<AL&K.;n ] [3|LO>&] [4|N:TAT.IJH@ ] [5|L:C;L@H B:NIJ ]
Genesis,38,28,114,1,NTN[,,10,produce; yield; give [3|hand],!,,1,0,1,0,0,0,[1|WA] [2|J.IT.En&] [3|J@D ]
Genesis,39,4,10,1,NTN[,,1l,place [2|whole] ... [4|in hand~him],!,,1,0,1,0,1,1,[1|W:] [2|K@L&] [3|N@TAn ] [4|B.:J@DOW00
]
Genesis,39,8,24,1,NTN[,,1l,place [2|whole] ... [4|in hand~me],!,,1,0,1,0,1,1,[1|W:] [2|KOL ] [3|N@TAn ] [4|B.:J@DIJ00
]
Genesis,39,20,60,1,NTN[,,1l,place [2|give~him] ... [3|to house the prison place],!,,1,0,1,0,1,1,[1|WA] [2|J.IT.:N;HW. ] [3|>EL&B.;JT HAS.OHAR M:QOWm ]
Genesis,39,21,64,1,NTN[,,1l,place [3|grace~him] ... [4|in eye chief house the prison],!,,1,0,1,0,1,1,[1|WA] [2|J.IT.;n ] [3|XIN.OW ] [4|B.:<;JN;J FAR B.;JT&HAS.OHAR00
]
Genesis,39,22,65,1,NTN[,,1l,place [5|& whole the prisoner] ... [4|in hand Joseph],!,,1,0,1,0,1,1,[1|WA] [2|J.IT.;n ] [3|FAR B.;JT&HAS.OHAR ] [4|B.:JAD&JOWS;p ] [5|>;T K.@L&H@>:ASIJRIm ]
Genesis,40,3,4,1,NTN[,,10,produce; yield; give [3|&~them:mm],!,,1,0,1,0,0,0,[1|WA] [2|J.IT.;n ] [3|>OT@m ] [4|B.:MIC:MAR B.;JT FAR HAVAB.@XIJm >EL&B.;JT HAS.OHAR ] [5|M:QOWm ]
Genesis,40,11,28,1,NTN[,wrn,1c,make [3|& the cup] (to be (as)/to become/to do) [4|upon palm pharaoh],?,[4|upon palm pharaoh] taken as extra direct object besides [3|& the cup],1,0,1,0,0,1,[1|W@] [2|>ET.;n ] [3|>ET&HAK.OWS ] [4|<AL&K.Ap P.AR:<OH00
]
Genesis,40,13,34,1,NTN[,,1l,place [3|cup pharaoh] ... [4|in hand~him],!,,1,0,1,0,1,1,[1|W:] [2|N@TAT.@ ] [3|KOWS&P.AR:<OH ] [4|B.:J@DOW ] [5|K.AM.IC:P.@V H@RI>COWn ]
Genesis,40,21,58,1,NTN[,wrn,1c,make [3|the cup] (to be (as)/to become/to do) [4|upon palm pharaoh],?,[4|upon palm pharaoh] taken as extra direct object besides [3|the cup],1,0,1,0,0,1,[1|WA] [2|J.IT.;n ] [3|HAK.OWS ] [4|<AL&K.Ap P.AR:<OH00
]
Genesis,41,10,26,1,NTN[,,1l,place [3|&~me &~me and & chief the baker] ... [4|in guard house chief the butcher],!,,1,0,1,0,1,1,[1|WA] [2|J.IT.;n ] [3|>OTIJ >OTIJ W:>;T FAR H@>OPIJm00
] [4|B.:MIC:MAR B.;JT FAR HAV.AB.@XIJm ]
Genesis,41,41,108,1,NTN[,,1l,place [2|&~you:m] ... [3|upon whole earth Egypt],!,,1,0,1,0,1,1,[1|N@TAT.IJ ] [2|>OT:k@ ] [3|<AL K.@L&>EREy MIY:R@JIm00
]
Genesis,41,42,110,1,NTN[,wrn,1c,make [3|&~her] (to be (as)/to become/to do) [4|upon hand Joseph],?,[4|upon hand Joseph] taken as extra direct object besides [3|&~her],1,0,1,0,0,1,[1|WA] [2|J.IT.;n ] [3|>OT@H. ] [4|<AL&JAD JOWS;p ]
Genesis,41,43,115,1,NTN[,,1l,place [3|&~him] ... [4|upon whole earth Egypt],!,,1,0,1,0,1,1,[1|W:] [2|N@TOWn ] [3|>OTOW ] [4|<AL K.@L&>EREy MIY:R@JIm00
]
Genesis,41,45,120,1,NTN[,,2,make  (to be (as)/to become/to do) [4|& Asenath daughter Potiphera priest <Heliopolis>] [5|to woman],!,,2,0,2,1,0,0,[1|WA] [2|J.IT.En&] [3|LOW ] [4|>ET&>@S:NAT B.AT&P.OWVIJ PERA< K.OH;n >On ] [5|L:>IC.@H ]
Genesis,41,48,127,1,NTN[,,1l,place [3|food] ... [4|in the town],!,,1,0,1,0,1,1,[1|WA] [2|J.IT.En&] [3|>OKEL ] [4|B.E<@RIJm ]
Genesis,41,48,128,1,NTN[,,1l,place [1|food open field the town] ... [3|in midst~her],!,,1,0,1,0,1,1,[1|>OKEL F:D;H&H@<IJR ] [2|N@TAn ] [3|B.:TOWK@H.00
]
Genesis,42,25,88,4,NTN[,,1i,give [4|provision to the way] to [3|to~them:mm],!,,1,0,1,1,0,0,[1|W:] [2|L@T;T ] [3|L@HEm ] [4|Y;D@H LAD.@REk: ]
