passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Genesis 8:11	עֲלֵה־זַ֖יִת טָרָ֣ף 	leafage olive fresh plucked	זַ֖יִת 	טָרָ֣ף 	1	1
Genesis 8:12	שִׁבְעַ֥ת יָמִ֖ים אֲחֵרִ֑ים 	seven day other	יָמִ֖ים 	אֲחֵרִ֑ים 	1	1
Genesis 8:14	בַחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י 	in the month the second	חֹ֨דֶשׁ֙ 	הַשֵּׁנִ֔י 	2	1
Genesis 8:20	מִכֹּ֣ל ׀ הַבְּהֵמָ֣ה הַטְּהֹורָ֗ה וּמִכֹּל֙ הָעֹ֣וף הַטָּהֹ֔ר 	from whole the cattle the pure and from whole the birds the pure	הַבְּהֵמָ֣ה 	הַטְּהֹורָ֗ה 	2	1
Genesis 8:20	מִכֹּ֣ל ׀ הַבְּהֵמָ֣ה הַטְּהֹורָ֗ה וּמִכֹּל֙ הָעֹ֣וף הַטָּהֹ֔ר 	from whole the cattle the pure and from whole the birds the pure	הָעֹ֣וף 	הַטָּהֹ֔ר 	2	1
Genesis 8:21	אֶת־כָּל־חַ֖י 	<object marker> whole alive	כָּל־	חַ֖י 	1	1
Genesis 9:12	בֵּינִי֙ וּבֵ֣ינֵיכֶ֔ם וּבֵ֛ין כָּל־נֶ֥פֶשׁ חַיָּ֖ה 	interval and interval and interval whole soul alive	נֶ֥פֶשׁ 	חַיָּ֖ה 	1	1
Genesis 9:15	בֵּינִי֙ וּבֵ֣ינֵיכֶ֔ם וּבֵ֛ין כָּל־נֶ֥פֶשׁ חַיָּ֖ה 	interval and interval and interval whole soul alive	נֶ֥פֶשׁ 	חַיָּ֖ה 	1	1
Genesis 9:16	בְּרִ֣ית עֹולָ֔ם בֵּ֣ין אֱלֹהִ֔ים וּבֵין֙ כָּל־נֶ֣פֶשׁ חַיָּ֔ה 	covenant eternity interval god(s) and interval whole soul alive	נֶ֣פֶשׁ 	חַיָּ֔ה 	1	1
Genesis 9:24	בְּנֹ֥ו הַקָּטָֽן׃ 	son the small	בְּנֹ֥ו 	הַקָּטָֽן׃ 	1	1
Genesis 10:12	הָעִ֥יר הַגְּדֹלָֽה׃ 	the town the great	הָעִ֥יר 	הַגְּדֹלָֽה׃ 	2	1
Genesis 10:21	גַּם־ה֑וּא אֲחִ֖י יֶ֥פֶת הַגָּדֹֽול׃ 	even he brother Japheth the great	אֲחִ֖י יֶ֥פֶת 	הַגָּדֹֽול׃ 	2	1
Genesis 12:2	לְגֹ֣וי גָּדֹ֔ול 	to people great	גֹ֣וי 	גָּדֹ֔ול 	1	1
Genesis 12:11	אִשָּׁ֥ה יְפַת־מַרְאֶ֖ה 	woman beautiful sight	אִשָּׁ֥ה 	יְפַת־מַרְאֶ֖ה 	1	1
Genesis 12:17	נְגָעִ֥ים גְּדֹלִ֖ים 	stroke great	נְגָעִ֥ים 	גְּדֹלִ֖ים 	1	1
Genesis 14:18	לְאֵ֥ל עֶלְיֹֽון׃ 	to god upper	אֵ֥ל 	עֶלְיֹֽון׃ 	1	1
Genesis 14:19	לְאֵ֣ל עֶלְיֹ֔ון קֹנֵ֖ה שָׁמַ֥יִם וָאָֽרֶץ׃ 	to god upper create heavens and earth	אֵ֣ל 	עֶלְיֹ֔ון 	1	1
Genesis 14:20	אֵ֣ל עֶלְיֹ֔ון 	god upper	אֵ֣ל 	עֶלְיֹ֔ון 	1	1
Genesis 14:22	אֶל־יְהוָה֙ אֵ֣ל עֶלְיֹ֔ון קֹנֵ֖ה שָׁמַ֥יִם וָאָֽרֶץ׃ 	to YHWH god upper create heavens and earth	אֵ֣ל 	עֶלְיֹ֔ון 	1	1
Genesis 15:9	עֶגְלָ֣ה מְשֻׁלֶּ֔שֶׁת וְעֵ֥ז מְשֻׁלֶּ֖שֶׁת וְאַ֣יִל מְשֻׁלָּ֑שׁ וְתֹ֖ר וְגֹוזָֽל׃ 	cow be three and goat be three and ram, despot be three and dove and young of birds	עֶגְלָ֣ה 	מְשֻׁלֶּ֔שֶׁת 	1	1
Genesis 15:9	עֶגְלָ֣ה מְשֻׁלֶּ֔שֶׁת וְעֵ֥ז מְשֻׁלֶּ֖שֶׁת וְאַ֣יִל מְשֻׁלָּ֑שׁ וְתֹ֖ר וְגֹוזָֽל׃ 	cow be three and goat be three and ram, despot be three and dove and young of birds	עֵ֥ז 	מְשֻׁלֶּ֖שֶׁת 	1	1
Genesis 15:9	עֶגְלָ֣ה מְשֻׁלֶּ֔שֶׁת וְעֵ֥ז מְשֻׁלֶּ֖שֶׁת וְאַ֣יִל מְשֻׁלָּ֑שׁ וְתֹ֖ר וְגֹוזָֽל׃ 	cow be three and goat be three and ram, despot be three and dove and young of birds	אַ֣יִל 	מְשֻׁלָּ֑שׁ 	1	1
Genesis 15:12	אֵימָ֛ה חֲשֵׁכָ֥ה גְדֹלָ֖ה 	fright darkness great	חֲשֵׁכָ֥ה 	גְדֹלָ֖ה 	1	1
Genesis 15:14	בִּרְכֻ֥שׁ גָּדֹֽול׃ 	in property great	רְכֻ֥שׁ 	גָּדֹֽול׃ 	1	1
Genesis 15:15	בְּשֵׂיבָ֥ה טֹובָֽה׃ 	in age good	שֵׂיבָ֥ה 	טֹובָֽה׃ 	1	1
Genesis 15:16	דֹ֥ור רְבִיעִ֖י 	generation fourth	דֹ֥ור 	רְבִיעִ֖י 	1	1
Genesis 15:18	עַד־הַנָּהָ֥ר הַגָּדֹ֖ל נְהַר־פְּרָֽת׃ 	unto the stream the great stream Euphrates	הַנָּהָ֥ר 	הַגָּדֹ֖ל 	2	1
Genesis 16:1	שִׁפְחָ֥ה מִצְרִ֖ית 	maidservant Egyptian	שִׁפְחָ֥ה 	מִצְרִ֖ית 	1	1
Genesis 17:10	כָּל־זָכָֽר׃ 	whole male	כָּל־	זָכָֽר׃ 	1	1
Genesis 17:12	כָּל־זָכָ֖ר לְדֹרֹתֵיכֶ֑ם יְלִ֣יד בָּ֔יִת וּמִקְנַת־כֶּ֨סֶף֙ מִכֹּ֣ל בֶּן־נֵכָ֔ר 	whole male to generation son house and purchase silver from whole son foreigner	כָּל־	זָכָ֖ר 	1	1
Genesis 17:20	לְגֹ֥וי גָּדֹֽול׃ 	to people great	גֹ֥וי 	גָּדֹֽול׃ 	1	1
Genesis 17:21	לַמֹּועֵ֣ד הַזֶּ֔ה בַּשָּׁנָ֖ה הָאַחֶֽרֶת׃ 	to the appointment the this in the year the other	שָּׁנָ֖ה 	הָאַחֶֽרֶת׃ 	2	1
Genesis 17:23	אֶת־יִשְׁמָעֵ֣אל בְּנֹ֗ו וְאֵ֨ת כָּל־יְלִידֵ֤י בֵיתֹו֙ וְאֵת֙ כָּל־מִקְנַ֣ת כַּסְפֹּ֔ו כָּל־זָכָ֕ר בְּאַנְשֵׁ֖י בֵּ֣ית אַבְרָהָ֑ם 	<object marker> Ishmael son and <object marker> whole son house and <object marker> whole purchase silver whole male in man house Abraham	כָּל־	זָכָ֕ר 	1	1
Genesis 18:7	בֶּן־בָּקָ֜ר רַ֤ךְ וָטֹוב֙ 	son cattle tender and good	בֶּן־בָּקָ֜ר 	רַ֤ךְ וָטֹוב֙ 	2	2
Genesis 18:10	כָּעֵ֣ת חַיָּ֔ה 	as the time alive	עֵ֣ת 	חַיָּ֔ה 	2	1
Genesis 18:14	כָּעֵ֥ת חַיָּ֖ה 	as the time alive	עֵ֥ת 	חַיָּ֖ה 	2	1
Genesis 18:18	לְגֹ֥וי גָּדֹ֖ול וְעָצ֑וּם 	to people great and mighty	גֹ֥וי 	גָּדֹ֖ול וְעָצ֑וּם 	1	1
Genesis 20:4	גֹ֥וי גַּם־צַדִּ֖יק 	people even just	גֹ֥וי 	גַּם־צַדִּ֖יק 	1	1
Genesis 20:9	חֲטָאָ֣ה גְדֹלָ֑ה 	sin great	חֲטָאָ֣ה 	גְדֹלָ֑ה 	1	1
Genesis 21:8	מִשְׁתֶּ֣ה גָדֹ֔ול 	drinking great	מִשְׁתֶּ֣ה 	גָדֹ֔ול 	1	1
Genesis 21:18	לְגֹ֥וי גָּדֹ֖ול 	to people great	גֹ֥וי 	גָּדֹ֖ול 	1	1
Genesis 21:34	יָמִ֥ים רַבִּֽים׃ פ  	day much	יָמִ֥ים 	רַבִּֽים׃ פ  	1	1
Genesis 22:4	בַּיֹּ֣ום הַשְּׁלִישִׁ֗י 	in the day the third	יֹּ֣ום 	הַשְּׁלִישִׁ֗י 	2	1
Genesis 23:9	בְּכֶ֨סֶף מָלֵ֜א 	in silver full	כֶ֨סֶף 	מָלֵ֜א 	1	1
Genesis 25:8	בְּשֵׂיבָ֥ה טֹובָ֖ה 	in age good	שֵׂיבָ֥ה 	טֹובָ֖ה 	1	1
Genesis 25:27	אִ֣ישׁ תָּ֔ם 	man complete	אִ֣ישׁ 	תָּ֔ם 	1	1
Genesis 26:1	מִלְּבַד֙ הָרָעָ֣ב הָרִאשֹׁ֔ון 	from to linen, part, stave the hunger the first	הָרָעָ֣ב 	הָרִאשֹׁ֔ון 	2	1
Genesis 26:14	מִקְנֵה־צֹאן֙ וּמִקְנֵ֣ה בָקָ֔ר וַעֲבֻדָּ֖ה רַבָּ֑ה 	purchase cattle and purchase cattle and slaves much	עֲבֻדָּ֖ה 	רַבָּ֑ה 	1	1
Genesis 26:19	בְּאֵ֖ר מַ֥יִם חַיִּֽים׃ 	well water alive	מַ֥יִם 	חַיִּֽים׃ 	1	1
Genesis 26:21	בְּאֵ֣ר אַחֶ֔רֶת 	well other	בְּאֵ֣ר 	אַחֶ֔רֶת 	1	1
Genesis 26:22	בְּאֵ֣ר אַחֶ֔רֶת 	well other	בְּאֵ֣ר 	אַחֶ֔רֶת 	1	1
Genesis 27:1	אֶת־עֵשָׂ֣ו ׀ בְּנֹ֣ו הַגָּדֹ֗ל 	<object marker> Esau son the great	בְּנֹ֣ו 	הַגָּדֹ֗ל 	1	1
Genesis 27:9	שְׁנֵ֛י גְּדָיֵ֥י עִזִּ֖ים טֹבִ֑ים 	two goat goat good	גְּדָיֵ֥י עִזִּ֖ים 	טֹבִ֑ים 	2	2
Genesis 27:11	אִ֣ישׁ שָׂעִ֔ר 	man hairy	אִ֣ישׁ 	שָׂעִ֔ר 	1	1
Genesis 27:11	אִ֥ישׁ חָלָֽק׃ 	man smooth	אִ֥ישׁ 	חָלָֽק׃ 	1	1
Genesis 27:15	אֶת־בִּגְדֵ֨י עֵשָׂ֜ו בְּנָ֤הּ הַגָּדֹל֙ הַחֲמֻדֹ֔ת 	<object marker> garment Esau son the great the desirables	בְּנָ֤הּ 	הַגָּדֹל֙ 	1	1
Genesis 27:15	אֶֽת־יַעֲקֹ֖ב בְּנָ֥הּ הַקָּטָֽן׃ 	<object marker> Jacob son the small	בְּנָ֥הּ 	הַקָּטָֽן׃ 	1	1
Genesis 27:33	חֲרָדָה֮ גְּדֹלָ֣ה 	trembling great	חֲרָדָה֮ 	גְּדֹלָ֣ה 	1	1
Genesis 27:34	צְעָקָ֔ה גְּדֹלָ֥ה וּמָרָ֖ה 	cry great and bitter	צְעָקָ֔ה 	גְּדֹלָ֥ה וּמָרָ֖ה 	1	1
Genesis 27:42	אֶת־דִּבְרֵ֥י עֵשָׂ֖ו בְּנָ֣הּ הַגָּדֹ֑ל 	<object marker> word Esau son the great	בְּנָ֣הּ 	הַגָּדֹ֑ל 	1	1
Genesis 27:42	לְיַעֲקֹב֙ בְּנָ֣הּ הַקָּטָ֔ן 	to Jacob son the small	בְּנָ֣הּ 	הַקָּטָ֔ן 	1	1
Genesis 29:18	בְּרָחֵ֥ל בִּתְּךָ֖ הַקְּטַנָּֽה׃ 	in Rachel daughter the small	בִּתְּךָ֖ 	הַקְּטַנָּֽה׃ 	1	1
Genesis 29:19	לְאִ֣ישׁ אַחֵ֑ר 	to man other	אִ֣ישׁ 	אַחֵ֑ר 	1	1
Genesis 29:27	שֶֽׁבַע־שָׁנִ֥ים אֲחֵרֹֽות׃ 	seven year other	שָׁנִ֥ים 	אֲחֵרֹֽות׃ 	1	1
Genesis 29:30	שֶֽׁבַע־שָׁנִ֥ים אֲחֵרֹֽות׃ 	seven year other	שֶֽׁבַע־שָׁנִ֥ים 	אֲחֵרֹֽות׃ 	2	2
Genesis 30:7	בֵּ֥ן שֵׁנִ֖י 	son second	בֵּ֥ן 	שֵׁנִ֖י 	1	1
Genesis 30:12	בֵּ֥ן שֵׁנִ֖י 	son second	בֵּ֥ן 	שֵׁנִ֖י 	1	1
Genesis 30:17	בֵּ֥ן חֲמִישִֽׁי׃ 	son fifth	בֵּ֥ן 	חֲמִישִֽׁי׃ 	1	1
Genesis 30:19	בֵּן־שִׁשִּׁ֖י 	son sixth	בֵּן־	שִׁשִּׁ֖י 	1	1
Genesis 30:20	זֵ֣בֶד טֹוב֒ 	endowment good	זֵ֣בֶד 	טֹוב֒ 	1	1
Genesis 30:24	בֵּ֥ן אַחֵֽר׃ 	son other	בֵּ֥ן 	אַחֵֽר׃ 	1	1
Genesis 30:32	כָּל־שֶׂ֣ה ׀ נָקֹ֣ד וְטָל֗וּא וְכָל־שֶׂה־חוּם֙ בַּכְּשָׂבִ֔ים וְטָל֥וּא וְנָקֹ֖ד בָּעִזִּ֑ים 	whole lamb speckled and patch and whole lamb ruttish in the young ram and patch and speckled in the goat	שֶׂ֣ה ׀ 	נָקֹ֣ד וְטָל֗וּא 	1	1
Genesis 30:32	כָּל־שֶׂ֣ה ׀ נָקֹ֣ד וְטָל֗וּא וְכָל־שֶׂה־חוּם֙ בַּכְּשָׂבִ֔ים וְטָל֥וּא וְנָקֹ֖ד בָּעִזִּ֑ים 	whole lamb speckled and patch and whole lamb ruttish in the young ram and patch and speckled in the goat	שֶׂה־	חוּם֙ 	1	1
Genesis 30:35	אֶת־הַתְּיָשִׁ֜ים הָֽעֲקֻדִּ֣ים וְהַטְּלֻאִ֗ים וְאֵ֤ת כָּל־הָֽעִזִּים֙ הַנְּקֻדֹּ֣ות וְהַטְּלֻאֹ֔ת כֹּ֤ל וְכָל־ח֖וּם בַּכְּשָׂבִ֑ים 	<object marker> the he-goat the twisted and the patch and <object marker> whole the goat the speckled and the patch whole and whole ruttish in the young ram	הַתְּיָשִׁ֜ים 	הָֽעֲקֻדִּ֣ים וְהַטְּלֻאִ֗ים 	2	1
Genesis 30:35	אֶת־הַתְּיָשִׁ֜ים הָֽעֲקֻדִּ֣ים וְהַטְּלֻאִ֗ים וְאֵ֤ת כָּל־הָֽעִזִּים֙ הַנְּקֻדֹּ֣ות וְהַטְּלֻאֹ֔ת כֹּ֤ל וְכָל־ח֖וּם בַּכְּשָׂבִ֑ים 	<object marker> the he-goat the twisted and the patch and <object marker> whole the goat the speckled and the patch whole and whole ruttish in the young ram	הָֽעִזִּים֙ 	הַנְּקֻדֹּ֣ות וְהַטְּלֻאֹ֔ת 	2	1
Genesis 30:35	אֶת־הַתְּיָשִׁ֜ים הָֽעֲקֻדִּ֣ים וְהַטְּלֻאִ֗ים וְאֵ֤ת כָּל־הָֽעִזִּים֙ הַנְּקֻדֹּ֣ות וְהַטְּלֻאֹ֔ת כֹּ֤ל וְכָל־ח֖וּם בַּכְּשָׂבִ֑ים 	<object marker> the he-goat the twisted and the patch and <object marker> whole the goat the speckled and the patch whole and whole ruttish in the young ram	כָל־	ח֖וּם 	1	1
Genesis 30:37	פְּצָלֹ֣ות לְבָנֹ֔ות 	peeled stripe white	פְּצָלֹ֣ות 	לְבָנֹ֔ות 	1	1
Genesis 30:39	עֲקֻדִּ֥ים נְקֻדִּ֖ים וּטְלֻאִֽים׃ 	twisted speckled and patch	עֲקֻדִּ֥ים 	נְקֻדִּ֖ים וּטְלֻאִֽים׃ 	1	0
Genesis 30:41	הַצֹּ֣אן הַמְקֻשָּׁרֹות֒ 	the cattle the tie	הַצֹּ֣אן 	הַמְקֻשָּׁרֹות֒ 	2	1
Genesis 30:43	צֹ֣אן רַבֹּ֔ות וּשְׁפָחֹות֙ וַעֲבָדִ֔ים וּגְמַלִּ֖ים וַחֲמֹרִֽים׃ 	cattle much and maidservant and servant and camel and he-ass	צֹ֣אן 	רַבֹּ֔ות 	1	1
Genesis 31:10	עֲקֻדִּ֥ים נְקֻדִּ֖ים וּבְרֻדִּֽים׃ 	twisted speckled and speckled	עֲקֻדִּ֥ים 	נְקֻדִּ֖ים וּבְרֻדִּֽים׃ 	1	0
Genesis 31:12	עֲקֻדִּ֥ים נְקֻדִּ֖ים וּבְרֻדִּ֑ים 	twisted speckled and speckled	עֲקֻדִּ֥ים 	נְקֻדִּ֖ים וּבְרֻדִּ֑ים 	1	0
Genesis 31:22	בַּיֹּ֣ום הַשְּׁלִישִׁ֑י 	in the day the third	יֹּ֣ום 	הַשְּׁלִישִׁ֑י 	2	1
Genesis 32:9	הַמַּחֲנֶ֥ה הַנִּשְׁאָ֖ר 	the camp the remain	הַמַּחֲנֶ֥ה 	הַנִּשְׁאָ֖ר 	2	1
Genesis 32:16	גְּמַלִּ֧ים מֵינִיקֹ֛ות וּבְנֵיהֶ֖ם שְׁלֹשִׁ֑ים פָּרֹ֤ות אַרְבָּעִים֙ וּפָרִ֣ים עֲשָׂרָ֔ה אֲתֹנֹ֣ת עֶשְׂרִ֔ים וַעְיָרִ֖ם עֲשָׂרָֽה׃ 	camel suck and son three cow four and young bull ten she-ass twenty and steed ten	גְּמַלִּ֧ים 	מֵינִיקֹ֛ות 	1	1
Genesis 34:15	כָּל־זָכָֽר׃ 	whole male	כָּל־	זָכָֽר׃ 	1	1
Genesis 34:22	כָּל־זָכָ֔ר 	whole male	כָּל־	זָכָ֔ר 	1	1
Genesis 34:25	בַיֹּ֨ום הַשְּׁלִישִׁ֜י 	in the day the third	יֹּ֨ום 	הַשְּׁלִישִׁ֜י 	2	1
Genesis 34:25	כָּל־זָכָֽר׃ 	whole male	כָּל־	זָכָֽר׃ 	1	1
Genesis 37:2	אֶת־דִּבָּתָ֥ם רָעָ֖ה 	<object marker> evil report evil	דִּבָּתָ֥ם 	רָעָ֖ה 	1	1
Genesis 37:9	חֲלֹ֣ום אַחֵ֔ר 	dream other	חֲלֹ֣ום 	אַחֵ֔ר 	1	1
Genesis 37:20	חַיָּ֥ה רָעָ֖ה 	wild animal evil	חַיָּ֥ה 	רָעָ֖ה 	1	1
Genesis 37:28	אֲנָשִׁ֨ים מִדְיָנִ֜ים 	man Midianite	אֲנָשִׁ֨ים 	מִדְיָנִ֜ים 	1	1
Genesis 37:33	חַיָּ֥ה רָעָ֖ה 	wild animal evil	חַיָּ֥ה 	רָעָ֖ה 	1	1
Genesis 37:34	יָמִ֥ים רַבִּֽים׃ 	day much	יָמִ֥ים 	רַבִּֽים׃ 	1	1
Genesis 38:1	עַד־אִ֥ישׁ עֲדֻלָּמִ֖י 	unto man Adullamite	אִ֥ישׁ 	עֲדֻלָּמִ֖י 	1	1
Genesis 38:2	בַּת־אִ֥ישׁ כְּנַעֲנִ֖י 	daughter man Canaanite	אִ֥ישׁ 	כְּנַעֲנִ֖י 	1	1
Genesis 39:1	פֹּוטִיפַר֩ סְרִ֨יס פַּרְעֹ֜ה שַׂ֤ר הַטַּבָּחִים֙ אִ֣ישׁ מִצְרִ֔י 	Potiphar official pharaoh chief the butcher man Egyptian	אִ֣ישׁ 	מִצְרִ֔י 	1	1
Genesis 39:9	הָרָעָ֤ה הַגְּדֹלָה֙ הַזֹּ֔את 	the evil the great the this	הָרָעָ֤ה 	הַגְּדֹלָה֙ 	2	1
Genesis 39:14	אִ֥ישׁ עִבְרִ֖י 	man Hebrew	אִ֥ישׁ 	עִבְרִ֖י 	1	1
Genesis 39:14	בְּקֹ֥ול גָּדֹֽול׃ 	in sound great	קֹ֥ול 	גָּדֹֽול׃ 	1	1
Genesis 39:17	הָעֶ֧בֶד הָֽעִבְרִ֛י 	the servant the Hebrew	הָעֶ֧בֶד 	הָֽעִבְרִ֛י 	2	1
Genesis 40:13	כַּמִּשְׁפָּט֙ הָֽרִאשֹׁ֔ון 	as the justice the first	מִּשְׁפָּט֙ 	הָֽרִאשֹׁ֔ון 	2	1
Genesis 40:17	בַסַּ֣ל הָֽעֶלְיֹו֔ן 	in the basket the upper	סַּ֣ל 	הָֽעֶלְיֹו֔ן 	2	1
Genesis 40:20	בַּיֹּ֣ום הַשְּׁלִישִׁ֗י יֹ֚ום 	in the day the third day	יֹּ֣ום 	הַשְּׁלִישִׁ֗י 	2	1
Genesis 41:2	שֶׁ֣בַע פָּרֹ֔ות יְפֹ֥ות מַרְאֶ֖ה וּבְרִיאֹ֣ת בָּשָׂ֑ר 	seven cow beautiful sight and fat flesh	שֶׁ֣בַע פָּרֹ֔ות 	יְפֹ֥ות מַרְאֶ֖ה וּבְרִיאֹ֣ת בָּשָׂ֑ר 	2	2
Genesis 41:3	שֶׁ֧בַע פָּרֹ֣ות אֲחֵרֹ֗ות רָעֹ֥ות מַרְאֶ֖ה וְדַקֹּ֣ות בָּשָׂ֑ר 	seven cow other evil sight and thin flesh	שֶׁ֧בַע פָּרֹ֣ות 	אֲחֵרֹ֗ות 	2	2
Genesis 41:4	הַפָּרֹ֗ות רָעֹ֤ות הַמַּרְאֶה֙ וְדַקֹּ֣ת הַבָּשָׂ֔ר 	the cow evil the sight and thin the flesh	הַפָּרֹ֗ות 	רָעֹ֤ות הַמַּרְאֶה֙ וְדַקֹּ֣ת הַבָּשָׂ֔ר 	2	1
Genesis 41:4	אֵ֚ת שֶׁ֣בַע הַפָּרֹ֔ות יְפֹ֥ת הַמַּרְאֶ֖ה וְהַבְּרִיאֹ֑ת 	<object marker> seven the cow beautiful the sight and the fat	שֶׁ֣בַע הַפָּרֹ֔ות 	יְפֹ֥ת הַמַּרְאֶ֖ה וְהַבְּרִיאֹ֑ת 	3	2
Genesis 41:6	שֶׁ֣בַע שִׁבֳּלִ֔ים דַּקֹּ֖ות וּשְׁדוּפֹ֣ת קָדִ֑ים 	seven grain thin and scorch east	שֶׁ֣בַע שִׁבֳּלִ֔ים 	דַּקֹּ֖ות וּשְׁדוּפֹ֣ת קָדִ֑ים 	2	2
Genesis 41:7	הַשִּׁבֳּלִ֣ים הַדַּקֹּ֔ות 	the grain the thin	הַשִּׁבֳּלִ֣ים 	הַדַּקֹּ֔ות 	2	1
